,시설명,시설주소
94,늘푸름보호작업장,서울특별시 구로구 부일로1나길38(온수동)
95,희망일굼터,"서울특별시 양천구 신정로267 (신정동,"
96,중증장애인다수고용사업장굿윌스토어밀알도봉점,서울특별시 도봉구 마들로 664-17
97,금천구립장애인보호작업장,서울특별시 금천구 한내로 69-15금천한내복지관내
98,동문엔터프라이즈,"서울특별시 동대문구 한천로 58-22층,"
99,강서구희망센터,"서울특별시 강서구 화곡로31길 25지층(화곡동),"
100,빛나눔보호작업장,서울특별시 은평구 수색로 390-29
101,밀알그린보호작업장,서울특별시 강남구 밤고개로1길 341층
102,공감보호작업장,"서울특별시 성동구 아차산로144, B101호,"
103,행복플러스보호작업장,서울특별시 성북구 화랑로134 (하월곡동2-2)
104,장애인내일키움직업교육센터,서울특별시 서대문구 연희로33가길6-15 (연희동)
105,오뚜기직업재활센터,"서울특별시 영등포구 영신로40길16, 2층"
106,소망드림복지센터,서울특별시 강동구 양재대로116길 202층
107,행복을파는장사꾼,서울특별시 강서구 까치산로 134
108,꿈드래장애인일자리센터,서울특별시 동대문구 장한로28가길 70
109,마포푸르메직업재활센터,서울특별시 마포구 월드컵북로 494-0
110,래그랜느보호작업장,서울특별시 강남구 양재대로55길13 (일원동)
111,행복 보호작업장,"서울특별시 송파구 성내천로 271217,"
112,SG블루웰,서울특별시 금천구 두산로 70-0
113,소울터보호작업장,"서울특별시 금천구 범안로1138, 603호"
114,한우리보호작업장,서울특별시 서초구 남부순환로340길 15
115,늘품 장애인 보호작업장,서울특별시 서대문구 홍은중앙로 105-0
116,참행복한세상,"서울특별시 강서구 강서로 462대룡드림타워-1,"
117,베데스다직업적응훈련시설,서울특별시 노원구 공릉로58마길 27
118,송파구장애인직업재활지원센터,"서울특별시 송파구 양산로 5,"
119,더원직업훈련센터,서울특별시 동대문구 장한로 25602호
120,직업재능개발센터,"서울특별시 강동구 올림픽로588, 3층"
121,한결엠보호작업장,"서울특별시 금천구 가산디지털1로 131,"
122,블루나래,"서울특별시 구로구 디지털로 272,"
123,두손장애인보호작업장,"서울특별시 송파구 동남로6길 34-1,"
124,모두누리 직업재활센터,서울특별시 구로구 디지털로27길 24506호(벽산디지털밸리
125,기쁨나무,서울특별시 금천구 시흥대로80길 19
126,서울특별시립장애인영농직업재활시설,경기도 남양주시 진접읍 양진로725
127,강남세움보호작업장,"서울특별시 강남구 광평로60길22, 2층"
128,두빛나래보호작업장,서울특별시 성동구 성수일로 10
129,강남세움근로사업장 굿윌스토어,"서울특별시 강남구 광평로60길 22,"
130,강남세움 직업훈련센터,"서울특별시 강남구 광평로60길 22,"
131,사랑손직업적응훈련시설,"서울특별시 동작구 사당로 90,"
132,두리하나다울,"서울특별시 구로구 경인로53길 90,"
133,누보,"서울특별시 중구 충무로29, 402호,"
134,소담,"서울특별시 중랑구 상봉로 69,"
135,스프링샤인,서울특별시 은평구 갈현로11길 30
136,소담,"서울특별시 중랑구 상봉로69 (면목동,"
137,다은보호작업장,"서울특별시 은평구 통일로71길 8,"
138,단양노인장애인복지관, 
139,금강직업재활시설, 
140,소담,서울특별시 중랑구 상봉로 695층
141,스프링샤인,서울특별시 은평구 갈현로11길 30
142,다가옴,서울특별시 강동구 고덕로 106201호
143,누야하우스,서울특별시 은평구 갈현로11길 30(구산동)
