,시설명,시설주소
0,송파구방이복지관,서울특별시 송파구 백제고분로37길 4
1,서울시각장애인복지관,서울특별시 송파구 삼학사로19길 27　
2,서울시립발달장애인복지관,서울특별시 동작구 여의대방로20길 33-0395(보라매공원내)
3,청음복지관,서울특별시 강남구 봉은사로50길 6　
4,마포장애인종합복지관,서울특별시 마포구 성산로4길 353층(마포장애인종합복지관)(성산동)
5,다운복지관,서울특별시 노원구 화랑로478
6,원광장애인종합복지관,서울특별시 중랑구 신내로 56-0(신내동)
7,성프란치스꼬장애인종합복지관,서울특별시 구로구 남부순환로105라길 25-10
8,성모자애복지관,서울특별시 강남구 헌릉로757길 35　
9,사랑의집,서울특별시 은평구 역말로10길 30-1오병이어복지관
10,베데스다장애인주간보호센터,서울특별시 노원구 공릉로58마길 27나눔아트센터
11,다니엘주간보호센터,서울특별시 서초구 헌릉로468길 21-16(내곡동)
12,사랑나눔주간보호시설,서울특별시 송파구 마천로51길 283층
13,늘푸른나무복지관,서울특별시 강서구 허준로5길 37
14,서울시립북부장애인종합복지관,"서울특별시 노원구 덕릉로70가길 92(상계6,7동"
15,서울시립남부장애인종합복지관,서울특별시 동작구 신대방2동395 보라매공원내
16,금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17
17,볕바라기주간보호센터,서울특별시 금천구 금하로18길 8-1
18,시립서대문농아인복지관,서울특별시 서대문구 수색로4가길 23(남가좌동)
19,용산구립장애인주간보호센터,서울특별시 용산구 한강대로 3313층
20,송파인성장애인복지관,서울특별시 송파구 마천로61길 26송파인성장애인복지관
21,사랑의복지관,서울특별시 서초구 강남대로 65길
22,성북장애인복지관,서울특별시 성북구 화랑로 130　
23,하누리주간보호센터,서울특별시 금천구 시흥대로2길57 (시흥동)
24,헬렌켈러의집주간보호,서울특별시 강북구 삼양로80길 73층
25,다니엘사랑이용센터,서울특별시 서초구 헌릉로468길 21-16
26,다솜장애인주간보호센터,서울특별시 서대문구 증가로4길 531층
27,신목장애인주간보호시설,서울특별시 양천구 신목로 5(신정2동1278-1)
28,주바라기해피홈,서울특별시 도봉구 도봉로169가길 45도봉동
29,강북구수어통역센터,서울특별시 강북구 도봉로 3885층
30,관악구수어통역센터,서울특별시 관악구 쑥고개로 128관악구
31,도봉구수어통역센터,서울특별시 도봉구 마들로13길 153옥산빌딩
32,서울특별시수어통역센터지원본부,서울특별시 서대문구 경기대로 15엘림넷빌딩
33,가브리엘주간보호센터,서울특별시 노원구 한글비석로24라길 94-13
34,동천발달장애인주간활동센터,서울특별시 노원구 노원로18길 41(하계동)
35,섬김주간보호센터,서울특별시 노원구 덕릉로70가길 92서울특별시립북부장애인복지관내
36,위드주간보호센터,서울특별시 은평구 갈현로15길 11-131층
37,해피죤,서울특별시 강동구 상암로 195에이플러스
38,바오로교실주간보호센터,서울특별시 은평구 증산로5길 7
39,성북구수어통역센터,서울특별시 성북구 아리랑로4길 22201호
40,아이비주간보호시설,서울특별시 강동구 천중로 874층
41,하은장애인주간보호시설,서울특별시 양천구 신목로 203층
42,예은장애인주간보호시설,서울특별시 구로구 부일로15길 25-5금강빌딩
43,성민장애인주간보호소,서울특별시 노원구 노원로32길 42-20
44,기원주간보호센터,서울특별시 은평구 통일로87길 6-19
45,한마음 주간보호센터,서울특별시 은평구 연서로17길 473층
46,용산구수어통역센터,서울특별시 용산구 서빙고로 245
47,시립영등포장애인복지관,서울특별시 영등포구 버드나루로 22(영등포동2가)
48,다운주간보호센터,서울특별시 노원구 화랑로 478
49,모랫말꿈터,서울특별시 영등포구 도영로 37
50,햇살터(성프란치스꼬),서울특별시 구로구 남부순환로105라길 25-103층
51,노원1장애인주간보호센터,서울특별시 노원구 월계로 372단지
52,북부(종합사회복지관)장애인주간보호센터,서울특별시 노원구 동일로245길 56상계1동
53,상계(종합사회복지관)장애인주간보호센터,서울특별시 노원구 덕릉로115나길 25상계종합사회복지관
54,평화장애인주간활동센터,서울특별시 노원구 노원로 331평화종합사회복지관
55,영등포구주간보호센터,서울특별시 영등포구 신길로 553층
56,서울남부주간보호센터,서울특별시 동작구 여의대방로20길 33보라매공원
57,한빛장애인주간보호센터,서울특별시 양천구 신월로11길 16.
58,노원시각장애인주간보호센터,서울특별시 노원구 상계로23길 42
59,원광장애인주간보호시설,서울특별시 중랑구 신내로 56
60,보라매주간보호센터,서울특별시 동작구 여의대방로20길 33보라매공원
61,정겨우리주간보호센터,서울특별시 은평구 갈현로11길 30
62,정립회관주간보호센터,서울특별시 광진구 워커힐로 93
63,강서구수어통역센터,서울특별시 강서구 발산로 404층
64,구로구수어통역센터,서울특별시 구로구 가마산로 2724층
65,삼전주간보호시설,서울특별시 송파구 백제고분로32길 35삼전종합복지관
66,송파시각장애인축구장,서울특별시 송파구 올림픽로 474
67,송파구장애인운전교육원,서울특별시 송파구 삼학사로2길 49
68,기쁜우리복지관부설주간보호시설,서울특별시 강서구 허준로 65
69,충현복지관,서울특별시 강남구 논현로98길 16충현복지관
70,해마을주간보호센터,서울특별시 강남구 개포로 617-8.
71,중랑구수어통역센터,서울특별시 중랑구 면목로 299용마새마을금고
72,성모자애주간보호시설,서울특별시 강남구 헌릉로757길 35.
73,성모자애제2주간보호센터,서울특별시 강남구 헌릉로757길 35.
74,사랑손주간보호센터,서울특별시 동작구 사당로 188-7
75,성동주간보호센터,서울특별시 성동구 청계천로 506성동장애인종합복지관
76,은평구수어통역센터,서울특별시 은평구 증산서길 821층
77,까리따스장애인주간보호센터,서울특별시 서초구 남부순환로 2124
78,동천재활체육시설,서울특별시 노원구 노원로18길 41
79,서초구수어통역센터,서울특별시 서초구 서운로23길 17명달공원
80,서울장애인종합복지관,서울특별시 강동구 고덕로 201
81,오뚜기뇌성마비인주간보호센터,서울특별시 노원구 덕릉로70가길 96
82,참사랑주간보호센터,서울특별시 송파구 마천로 893층
83,여성시각장애인주간보호센터,서울특별시 중구 소공로4길 15
84,사랑의복지관 재가복지봉사센터,서울특별시 서초구 강남대로65길 19서초동
85,하하센터,서울특별시 노원구 한글비석로24가길 72-201층
86,서초구립주간이용센터,서울특별시 서초구 남부순환로340길 153층
87,라파엘 주간보호시설,서울특별시 종로구 필운대로9나길 15-4
88,서대문장애인주간보호시설,서울특별시 서대문구 북아현로4차길 4
89,중계종합사회복지관장애인주간보호센터,서울특별시 노원구 덕릉로 662주공3단지
90,새생명장애인주간보호소,서울특별시 영등포구 도림로 310-1301
91,비둘기주간보호시설,서울특별시 종로구 동숭4길 28비둘기재활센터
92,중구수어통역센터,서울특별시 중구 퇴계로20길 41-11남산쉼터
93,영등포구수어통역센터,서울특별시 영등포구 경인로112길 132층
94,노원구수어통역센터,서울특별시 노원구 상계로23길 17윈터행복발전소
95,한마음주간보호시설,서울특별시 강북구 삼양로 4323층
96,햇빛자리,서울특별시 용산구 백범로47길 24
97,마포장애인주간보호센터,서울특별시 마포구 성산로4길 35마포장애인종합복지관
98,피어라희망센터,서울특별시 도봉구 도봉로120길 16
99,무지개동산주간보호,서울특별시 송파구 성내천로22길 162층
100,송파구수어통역센터,서울특별시 송파구 문정로 135층
101,성동구수어통역센터,서울특별시 성동구 청계천로 516성동장애인생활회관
102,마라주간보호센터,서울특별시 송파구 송이로34길 43-13층(마라빌딩)
103,장애인주간보호시설인강원,서울특별시 도봉구 평화로15번길 9-25.
104,도봉주간보호센터,서울특별시 도봉구 도당로 532층
