,시설명,시설주소
105,THE채움,서울특별시 송파구 마천로51길 282층
106,강남구수어통역센터,서울특별시 강남구 학동로 343(학동)
107,하상주간보호센터,서울특별시 강남구 개포로 613
108,한벗장애인주간보호시설,서울특별시 용산구 효창원로69길 42-3한벗회관
109,베다니장애인주간보호시설 ,서울특별시 양천구 남부순환로65길 12-2
110,강서뇌성마비복지관,서울특별시 강서구 방화대로 45길
111,주간보호센터햇볕교실,서울특별시 강서구 개화동로21길 4
112,양지골장애인주간보호시설,서울특별시 구로구 구로중앙로28길 625층(구로동)
113,강남세움주간보호센터,서울특별시 강남구광평로60길 22(수서동)
114,파랑새교육원주간보호,서울특별시 강서구 까치산로 134화곡빌딩
115,강남장애인복지관,서울특별시 강남구 개포로 605
116,우리집주간보호,서울특별시 강서구 양천로47길 70-6
117,금천구수어통역센터,서울특별시 금천구 시흥대로147길 30-152층
118,시각장애인주간보호센터,서울특별시 중구 퇴계로20길 41-11남산쉼터
119,동대문구수어통역센터,서울특별시 동대문구 청계천로 521다사랑행복센터
120,역삼주간보호센터,서울특별시 강남구 테헤란로8길 36강남문화원
121,영락주간보호센터,서울특별시 중구 수표로 33영락교회
122,성모주간보호센터,서울특별시 성동구 독서당로44길 25.
123,지앤지주간보호센터,서울특별시 도봉구 삼양로 574-442층
124,동문장애인복지관,서울특별시 동대문구 장안벚꽃로 7길
125,파란마음주간보호센터,서울특별시 중구 다산로22길 111층
126,구립용산장애인복지관,서울특별시 용산구 효창원로93길 49
127,서초구립한우리정보문화센터,서울특별시 서초구 남부순환로340길 15
128,성민복지관,서울특별시 노원구 노원로32길 30-3　
129,기쁜우리복지관,서울특별시 강서구 허준로 65　
130,강북장애인종합복지관,서울특별시 강북구 오현로 189강북장애인종합복지관
131,삼성소리샘복지관,서울특별시 동작구 양녕로30길 19-4(상도동)
132,서울시립뇌성마비복지관,"서울특별시 노원구 덕릉로70가길 96(상계6,7동"
133,서울시립상이군경복지관,서울특별시 노원구 덕릉로70가길 73-0(상계동)
134,성동장애인종합복지관,서울특별시 성동구 청계천로 506-0　
135,성북시각장애인복지관,서울특별시 성북구 동소문로25가길 20성북시각장애인복지관
136,실로암주간보호센터,서울특별시 관악구 조원로 127-2301호
137,에덴장애인종합복지관,서울특별시 구로구 고척로21가길 84-35　
138,정립회관,서울특별시 광진구 워커힐로 93정립회관
139,한국시각장애인복지관,서울특별시 강동구 구천면로 645
140,성분도복지관,경기도 광주시 국사봉로 159-10
141,양천해누리복지관 ,서울특별시 양천구 목동동로 159목동동로
142,실로암시각장애인복지관,서울특별시 관악구 남부순환로 1717
143,서부장애인종합복지관,서울특별시 은평구 갈현로11길 30　
144,서대문장애인종합복지관,서울특별시 서대문구 북아현로 24
145,장애인주간보호센터청락원,서울특별시 금천구 금하로29길 36.
146,하늘동산,서울특별시 서초구 강남대로65길 195층
147,하상장애인복지관,서울특별시 강남구 개포로 613　
148,희망의학교,서울특별시 광진구 천호대로 622시민의교회5층(능동)
149,기쁜우리체육센터,서울특별시 강서구 허준로 65
150,에스알씨(SRC)재활체육관,경기도 광주시 초월읍 경수길
151,서부재활체육센터,서울특별시 은평구 갈현로11길 30
152,꿈자람터장애인주간보호센터,서울특별시 강서구 공항대로43길 104등촌7종합사회복지관
153,서울시립노원시각장애인복지관,서울특별시 노원구 덕릉로70가길 98서울특별시립노원시각장애인복지관
154,늘푸른마을,서울특별시 강서구 까치산로22길 38
155,서리풀주간이용센터,서울특별시 서초구 남부순환로340길 15.
156,동작구수어통역센터,서울특별시 동작구 만양로3길 143층
157,종로구수어통역센터,서울특별시 종로구 종로17길 83층
158,양천구수어통역센터,서울특별시 양천구 목동중앙북로 682층
159,성락주간보호,서울특별시 영등포구 도림로 3042층
160,민들레쉼터장애인주간보호시설,서울특별시 구로구 가마산로 2315동
161,하나렘넌트장애인주간보호센터,서울특별시 마포구 월드컵로13길 19-13
162,서울시농아노인지원센터,서울특별시 용산구 원효로89길 332층
163,디딤돌주간보호센터,서울특별시 동작구 대방동7길 571층
164,마포구수어통역센터,서울특별시 마포구 월드컵로 213마포장애인복지회관
165,메타아카데미주간보호센터,서울특별시 강동구 양재대로121길 25202호
166,하나인장애인주간보호센터,서울특별시 광진구 능동로59길 14
167,로뎀나무,서울특별시 강서구 까치산로18나길 36오성빌라
168,아름드리주간보호센터,서울특별시 동대문구 한천로58길 1071층
169,바우뫼주간보호센터,서울특별시 서초구 바우뫼로 43
170,맑은샘장애인주간보호시설 ,서울특별시 양천구 신월로 192201호
171,렘넌트주간보호센터,서울특별시 송파구 동남로 303-83층
172,우리마포장애인주간이용센터,서울특별시 마포구 신촌로26길 103층
173,광진구수어통역센터,서울특별시 광진구 아차산로 4173층
174,강동구수어통역센터,서울특별시 강동구 성내로 526층
175,갑을장애인주간보호센터,서울특별시 관악구 난우16길 13-72층
176,종로장애인복지관,서울특별시 종로구 자하문로 89
177,꿈터장애인주간보호센터,서울특별시 관악구 쑥고개로13길24 (봉천동)
178,성산푸른초장주간보호시설,서울특별시 강서구 양천로30길 143층
179,강서뇌성마비 주간보호,서울특별시 강서구 방화대로45길 692층
180,우리마포재활치료센터,서울특별시 마포구 신촌로26길10 (노고산동)
181,서울특별시중구장애인복지관,서울특별시 중구 퇴계로 460중구종합복지센터
182,참사랑너나울주간보호센터,서울특별시 강북구 한천로143길 391층
183,하상점자도서관,서울특별시 강남구 개포로 613
184,광림주간보호센터,서울특별시 강남구 압구정로22길 21웨슬리관
185,남산골주간보호센터,서울특별시 중구 퇴계로20길 41-11남산쉼터
186,영광시각장애인모바일점자도서관,서울특별시 서대문구 세검정로 78-19올해피복지센터
187,강북장애인종합복지관주간보호시설,서울특별시 강북구 오현로 189강북장애인종합복지관(2층)
188,그린도봉주간보호센터,"서울특별시 도봉구 도봉로 575608(쌍문동,삼환프라자)"
189,해피죤아동발달지원센터,"서울특별시 강동구 상암로195, 501호"
190,서울곰두리체육센터,서울특별시 송파구 동남로 271
191,서울시각장애인생활이동지원센터,"서울특별시 동작구 상도로 216-0상도동,"
192,하늘아래주간보호시설,"서울특별시 구로구 경인로23길8 (오류동,"
193,교남발달지원센터,"서울특별시 강서구 까치산로22길 38,"
194,서울영동주간보호센터,"서울특별시 강남구 논현로132길20 (논현동,"
195,꿈터2장애인주간보호센터,서울특별시 관악구 쑥고개로13길22 (봉천동)
196,예수와주간보호센터,"서울특별시 강남구 압구정로22길21, 1층"
197,희망하우스,서울특별시 광진구 능동로34길 102-52층
198,참사랑 너나울 주간보호센터 2호,"서울특별시 강북구 한천로143길 39,"
199,(주)의학신문사부설 아이맘인지발달연구소,서울특별시 광진구 동일로 357
200,푸르메재단넥슨어린이재활병원,서울특별시 마포구 월드컵북로 494푸르메재단넥슨어린이재활병원
201,푸르메스포츠센터,서울특별시 마포구 월드컵북로 494푸르메스포츠센터
202,휴샘아동가족발달센터,"서울특별시 강서구 마곡중앙5로 81,"
203,구립동대문장애인종합복지관,서울특별시 동대문구 청계천로 5210
204,sim 발달지원센터,서울특별시 광진구 천호대로136길 50
205,하사랑주간보호,서울특별시 송파구 올림픽로35길 1241동
206,행복한사랑,"서울특별시 송파구 오금로 548,"
207,관악구장애인종합복지관,서울특별시 관악구 남부순환로 1914
208,동그라미 움직임 발달센터,"서울특별시 광진구 자양로 135,"
209,다니엘치료센터,서울특별시 서초구 헌릉로468길 21-16다니엘학교
210,도봉장애인종합복지관,"서울특별시 도봉구 마들로664-23 (도봉동,"
211,하계장애인주간활동센터,서울특별시 노원구 노원로16길 15
212,구립중림장애인주간보호센터,서울특별시 중구 서소문로6길 16
213,행복주간보호센터,"서울특별시 송파구 마천로 89,"
214,동안우리주간보호센터,"서울특별시 강동구 풍성로 146,"
215,라파아동발달센터,서울특별시 강동구 길동 
216,아이사랑아동청소년발달센터,"서울특별시 강동구 아리수로93길 33,"
217,홀트강동복지관,서울특별시 강동구 아리수로93길 41
218,성민드림주간보호센터,서울특별시 서초구 효령로26길 9-9
219,영광시각장애인주간보호센터,서울특별시 서대문구 세무서10길 54
220,홀트주간보호센터,서울특별시 강동구 아리수로93길 41
221,왕성밀알주간보호센터,서울특별시 관악구 신림로58길 8
222,이음주간교육센터,"서울특별시 강북구 한천로129길11, 1층"
223,킨더윌언어심리전문센터,"서울특별시 노원구 상계로23다길 13-8,"
224,꿈친장애인주간보호센터,"서울특별시 영등포구 은행로 55,"
225,강남세움복지관,서울특별시 강남구 광평로60길 22
226,선한이웃 재활운동발달센터,"서울특별시 노원구 공릉로58길 112,"
227,양천희망돌봄센터,서울특별시 양천구 가로공원로 101
228,은평구립우리장애인복지관,서울특별시 은평구 녹번로1길 13
229,금천발달장애인주간보호센터,"서울특별시 금천구 시흥대로73길 30,"
230,40플러스 금곡행복쉼터 주간보호센터,"서울특별시 강서구 방화대로45길 69,"
231,염리장애인주간보호센터,"서울특별시 마포구 대흥로24길50 (염리동,"
232,선한이웃재활운동발달센터,서울특별시 노원구 공릉로58길 112301호
233,킨더윌언어심리전문센터,서울특별시 노원구 상계로23다길 13-8107호
234,시설테스트1호,서울특별시 성동구 무학로 50
235,염리종합사회복지관 내 주간보호센터,서울특별시 마포구 숭문길 14마포구
236,공덕동행복주택 내 장애인주간보호센터,서울특별시 마포구 백범로31길 21행복주택
237,아이맘인지행동발달센터,서울특별시 광진구 동일로 357아이맘인지행동발달센터
